game_id,season,week,home_team,away_team,home_conference,away_conference,home_points,away_points,provider,spread,total
332412309,2013,1,Kent State,Liberty,Mid-American,Big South,17,10,consensus,2.0,
332412579,2013,1,South Carolina,North Carolina,SEC,ACC,27,10,consensus,-11.5,56.0
332410154,2013,1,Wake Forest,Presbyterian,ACC,Big South,31,7,consensus,-30.0,
332412050,2013,1,Ball State,Illinois State,Mid-American,MVFC,51,28,consensus,-30.5,
332410084,2013,1,Indiana,Indiana State,Big Ten,MVFC,73,35,consensus,-30.5,
332410135,2013,1,Minnesota,UNLV,Big Ten,Mountain West,51,23,consensus,-17.0,52.0
332410189,2013,1,Bowling Green,Tulsa,Mid-American,Conference USA,34,7,consensus,3.0,50.5
332412116,2013,1,UCF,Akron,American Athletic,Mid-American,38,7,consensus,-28.0,55.5
332412393,2013,1,Middle Tennessee,Western Carolina,Conference USA,Southern,45,24,consensus,-12.0,
332410006,2013,1,South Alabama,Southern Utah,Sun Belt,Big Sky,21,22,consensus,-41.0,
332410041,2013,1,UConn,Towson,American Athletic,CAA,18,33,consensus,-20.0,
332412655,2013,1,Tulane,Jackson State,Conference USA,SWAC,34,7,consensus,-15.0,
332410254,2013,1,Utah,Utah State,Pac-12,Mountain West,30,26,consensus,-4.5,52.0
332410238,2013,1,Vanderbilt,Ole Miss,SEC,SEC,35,39,consensus,-1.5,52.0
332410023,2013,1,San José State,Sacramento State,Mountain West,Big Sky,24,0,consensus,-33.0,
332410278,2013,1,Fresno State,Rutgers,Mountain West,American Athletic,52,51,consensus,-8.5,54.5
332410062,2013,1,Hawai'i,USC,Mountain West,Pac-12,13,30,consensus,21.5,52.0
332422247,2013,1,Georgia State,Samford,Sun Belt,Southern,21,31,consensus,7.0,
332420349,2013,1,Army,Morgan State,FBS Independents,MEAC,28,12,consensus,-31.0,
332422567,2013,1,SMU,Texas Tech,American Athletic,Big 12,23,41,consensus,2.5,59.5
332422390,2013,1,Miami,Florida Atlantic,ACC,Conference USA,34,6,consensus,-31.0,54.5
332420127,2013,1,Michigan State,Western Michigan,Big Ten,Mid-American,26,13,consensus,-24.0,44.0
332422306,2013,1,Kansas State,North Dakota State,Big 12,MVFC,21,24,consensus,-14.5,
332420248,2013,1,Houston,Southern,American Athletic,SWAC,62,13,consensus,-38.5,
332420012,2013,1,Arizona,Northern Arizona,Pac-12,Big Sky,35,0,consensus,-35.0,
