game_id,season,week,home_team,away_team,home_conference,away_conference,home_points,away_points,provider,spread,total
401756846,2025,1,Kansas State,Iowa State,Big 12,Big 12,21,24,ESPN Bet,-2.5,51.5
401767476,2025,1,Nicholls,Incarnate Word,Southland,Southland,20,6,Bovada,13.5,51.5
401760371,2025,1,UNLV,Idaho State,Mountain West,Big Sky,38,31,Bovada,-30.5,67.0
401767126,2025,1,Portland State,Tarleton State,Big Sky,UAC,0,42,Bovada,17.5,60.5
401756847,2025,1,Kansas,Fresno State,Big 12,Mountain West,31,7,DraftKings,-14.0,51.5
401757218,2025,1,Western Kentucky,Sam Houston,Conference USA,Conference USA,41,24,DraftKings,-9.5,60.5
401754516,2025,1,Hawai'i,Stanford,Mountain West,ACC,23,20,DraftKings,-1.5,53.5
401767410,2025,1,Southern,North Carolina Central,SWAC,MEAC,14,31,ESPN Bet,10.5,47.5
401762522,2025,1,South Florida,Boise State,American Athletic,Mountain West,34,7,DraftKings,8.5,63.5
401762790,2025,1,Bowling Green,Lafayette,Mid-American,Patriot,26,7,Bovada,-21.0,53.0
401767549,2025,1,Youngstown State,Mercyhurst,MVFC,NEC,24,15,ESPN Bet,-24.0,59.5
401752794,2025,1,Rutgers,Ohio,Big Ten,Mid-American,34,31,DraftKings,-11.5,46.5
401767171,2025,1,Eastern Illinois,Dayton,Big South-OVC,Pioneer,24,14,ESPN Bet,-9.5,47.5
401754373,2025,1,NC State,East Carolina,ACC,American Athletic,24,17,DraftKings,-12.5,58.5
401762789,2025,1,Akron,Wyoming,Mid-American,Mountain West,0,10,DraftKings,8.5,49.5
401756848,2025,1,UCF,Jacksonville State,Big 12,Conference USA,17,10,DraftKings,-16.5,53.5
401761588,2025,1,UL Monroe,St. Francis (PA),Sun Belt,NEC,29,0,Bovada,-31.0,47.0
401767327,2025,1,Norfolk State,Towson,MEAC,CAA,7,27,ESPN Bet,8.5,49.5
401767209,2025,1,St. Thomas (MN),Lindenwood,Pioneer,Big South-OVC,35,13,ESPN Bet,6.5,51.5
401757219,2025,1,Delaware,Delaware State,Conference USA,MEAC,35,17,Bovada,-30.5,55.5
401756876,2025,1,Oklahoma State,UT Martin,Big 12,Big South-OVC,27,7,Bovada,-26.0,56.5
401752674,2025,1,Missouri,Central Arkansas,SEC,UAC,61,6,Bovada,-38.5,52.5
401754517,2025,1,Duke,Elon,ACC,CAA,45,17,Bovada,-36.5,51.5
401767298,2025,1,Samford,West Georgia,Southern,UAC,3,34,ESPN Bet,-6.5,55.5
401756852,2025,1,Houston,Stephen F. Austin,Big 12,Southland,27,0,Bovada,-24.5,54.5
401752793,2025,1,Minnesota,Buffalo,Big Ten,Mid-American,23,10,DraftKings,-16.5,45.5
401767369,2025,1,Northwestern State,Alcorn State,Southland,SWAC,20,10,ESPN Bet,10.5,49.5
401762430,2025,1,UAB,Alabama State,American Athletic,SWAC,52,42,Bovada,-21.0,53.5
401762791,2025,1,Wisconsin,Miami (OH),Big Ten,Mid-American,17,0,DraftKings,-17.5,40.5
401752796,2025,1,Cincinnati,Nebraska,Big 12,Big Ten,17,20,DraftKings,6.5,52.5
401760357,2025,1,San Diego State,Stony Brook,Mountain West,CAA,42,0,Bovada,-19.5,53.5
401767140,2025,1,Rhode Island,Campbell,CAA,CAA,31,20,ESPN Bet,-11.5,56.5
401762432,2025,1,Army,Tarleton State,American Athletic,UAC,27,30,ESPN Bet,-14.5,47.5
401767256,2025,1,Colgate,Monmouth,Patriot,CAA,39,42,ESPN Bet,14.5,65.5
401779329,2025,1,Marist,New Haven,Pioneer,NEC,31,14,ESPN Bet,3.5,48.5
401754374,2025,1,Wake Forest,Kennesaw State,ACC,Conference USA,10,9,DraftKings,-17.5,51.5
401752802,2025,1,Michigan State,Western Michigan,Big Ten,Mid-American,23,6,DraftKings,-18.5,49.5
401766898,2025,1,Florida International,Bethune-Cookman,Conference USA,SWAC,42,9,ESPN Bet,-26.5,54.5
401761589,2025,1,Charlotte,App State,American Athletic,Sun Belt,11,34,DraftKings,8.5,53.5
401752795,2025,1,Illinois,Western Illinois,Big Ten,Big South-OVC,52,3,Bovada,-48.5,62.5
401756854,2025,1,Kansas,Wagner,Big 12,NEC,46,7,ESPN Bet,-45.5,57.5
401752667,2025,1,Baylor,Auburn,Big 12,SEC,24,38,DraftKings,1.5,57.5
401754375,2025,1,Colorado,Georgia Tech,Big 12,ACC,20,27,DraftKings,4.0,55.5
