game_id,season,week,home_team,away_team,full_spread,full_total,full_home_points,full_away_points,1h_spread,1h_total,1h_home_points,1h_away_points,spread_half_naive,total_half_naive,spread_dev,total_dev
401756846,2025,1,Kansas State,Iowa State,-2.5,51.5,21,24,-1.5,24.5,7,7,-1.25,25.75,-0.25,-1.25
401760371,2025,1,UNLV,Idaho State,-30.5,67.0,38,31,-17.5,37.5,14,17,-15.25,33.5,-2.25,4.0
401756847,2025,1,Kansas,Fresno State,-14.0,51.5,31,7,-7.5,25.5,24,7,-7.0,25.75,-0.5,-0.25
401757218,2025,1,Western Kentucky,Sam Houston,-9.5,60.5,41,24,-6.5,30.5,20,10,-4.75,30.25,-1.75,0.25
401754516,2025,1,Hawai'i,Stanford,-1.5,53.5,23,20,-0.5,24.5,14,13,-0.75,26.75,0.25,-2.25
401762522,2025,1,South Florida,Boise State,8.5,63.5,34,7,2.5,30.5,10,7,4.25,31.75,-1.75,-1.25
401752794,2025,1,Rutgers,Ohio,-11.5,46.5,34,31,-8.5,26.5,31,17,-5.75,23.25,-2.75,3.25
401762790,2025,1,Bowling Green,Lafayette,-21.0,53.0,26,7,-10.5,27.5,17,0,-10.5,26.5,0.0,1.0
401762789,2025,1,Akron,Wyoming,8.5,49.5,0,10,3.5,24.5,0,3,4.25,24.75,-0.75,-0.25
401757219,2025,1,Delaware,Delaware State,-30.5,55.5,35,17,-17.5,29.5,14,3,-15.25,27.75,-2.25,1.75
401756848,2025,1,UCF,Jacksonville State,-16.5,53.5,17,10,-11.5,27.5,0,0,-8.25,26.75,-3.25,0.75
401761588,2025,1,UL Monroe,St. Francis (PA),-31.0,47.0,29,0,-18.5,26.5,10,0,-15.5,23.5,-3.0,3.0
401754517,2025,1,Duke,Elon,-36.5,51.5,45,17,-20.5,28.5,10,10,-18.25,25.75,-2.25,2.75
401752674,2025,1,Missouri,Central Arkansas,-38.5,52.5,61,6,-20.5,29.5,26,0,-19.25,26.25,-1.25,3.25
401756852,2025,1,Houston,Stephen F. Austin,-24.5,54.5,27,0,-14.5,30.5,17,0,-12.25,27.25,-2.25,3.25
401752793,2025,1,Minnesota,Buffalo,-16.5,45.5,23,10,-9.5,22.5,10,3,-8.25,22.75,-1.25,-0.25
401752796,2025,1,Cincinnati,Nebraska,6.5,52.5,17,20,3.5,24.5,3,13,3.25,26.25,0.25,-1.75
401762791,2025,1,Wisconsin,Miami (OH),-17.5,40.5,17,0,-10.5,20.5,3,0,-8.75,20.25,-1.75,0.25
401760357,2025,1,San Diego State,Stony Brook,-19.5,53.5,42,0,-12.5,29.5,20,0,-9.75,26.75,-2.75,2.75
401754374,2025,1,Wake Forest,Kennesaw State,-17.5,51.5,10,9,-10.5,26.5,7,6,-8.75,25.75,-1.75,0.75
401766898,2025,1,Florida International,Bethune-Cookman,-26.5,54.5,42,9,-16.5,30.5,28,6,-13.25,27.25,-3.25,3.25
401752802,2025,1,Michigan State,Western Michigan,-18.5,49.5,23,6,-12.5,26.5,21,0,-9.25,24.75,-3.25,1.75
401756854,2025,1,Kansas,Wagner,-45.5,57.5,46,7,-26.5,32.5,29,7,-22.75,28.75,-3.75,3.75
401752795,2025,1,Illinois,Western Illinois,-48.5,62.5,52,3,-27.5,36.5,31,0,-24.25,31.25,-3.25,5.25
401754375,2025,1,Colorado,Georgia Tech,4.0,55.5,20,27,2.5,23.5,10,13,2.0,27.75,0.5,-4.25
401752667,2025,1,Baylor,Auburn,1.5,57.5,24,38,0.5,28.5,10,17,0.75,28.75,-0.25,-0.25
401757224,2025,1,Sam Houston,UNLV,13.5,58.5,21,38,5.5,30.5,7,24,6.75,29.25,-1.25,1.25
401752797,2025,1,Maryland,Florida Atlantic,-16.5,57.5,39,7,-7.5,30.5,33,7,-8.25,28.75,0.75,1.75
401762792,2025,1,Kent State,Merrimack,-5.5,50.5,21,17,-3.5,27.5,7,3,-2.75,25.25,-0.75,2.25
401752677,2025,1,Ohio State,Texas,-1.5,46.5,14,7,-0.5,22.5,7,0,-0.75,23.25,0.25,-0.75
401752801,2025,1,Purdue,Ball State,-16.5,50.5,31,0,-9.5,24.5,21,0,-8.25,25.25,-1.25,-0.75
401754520,2025,1,Pittsburgh,Duquesne,-39.5,58.5,61,9,-21.5,32.5,34,6,-19.75,29.25,-1.75,3.25
401752676,2025,1,Tennessee,Syracuse,-13.5,53.5,45,26,-7.5,26.5,31,14,-6.75,26.75,-0.75,-0.25
401752803,2025,1,Tulane,Northwestern,-6.5,47.5,23,3,-3.5,22.5,20,3,-3.25,23.75,-0.25,-1.25
401762434,2025,1,Navy,VMI,-42.5,54.5,52,7,-24.5,30.5,28,0,-21.25,27.25,-3.25,3.25
401752673,2025,1,Southern Miss,Mississippi State,11.5,59.5,17,34,7.5,30.5,10,13,5.75,29.75,1.75,0.75
401752670,2025,1,Kentucky,Toledo,-10.0,48.5,24,16,-5.5,24.5,10,2,-5.0,24.25,-0.5,0.25
401754518,2025,1,Boston College,Fordham,-35.0,53.5,66,10,-20.5,30.5,21,3,-17.5,26.75,-3.0,3.75
401756878,2025,1,West Virginia,Robert Morris,-40.0,56.5,45,3,-23.5,30.5,10,3,-20.0,28.25,-3.5,2.25
401757167,2025,1,UConn,Central Connecticut,-29.5,51.5,59,13,-16.5,28.5,35,10,-14.75,25.75,-1.75,2.75
401752806,2025,1,Indiana,Old Dominion,-23.5,54.5,27,14,-13.5,27.5,17,7,-11.75,27.25,-1.75,0.25
401754519,2025,1,Louisville,Eastern Kentucky,-37.5,57.5,51,17,-23.5,33.5,41,7,-18.75,28.75,-4.75,4.75
401762793,2025,1,Northern Illinois,Holy Cross,-13.5,48.5,19,17,-7.5,26.5,6,3,-6.75,24.25,-0.75,2.25
401752807,2025,1,Penn State,Nevada,-45.5,58.5,46,11,-26.5,31.5,27,3,-22.75,29.25,-3.75,2.25
401756853,2025,1,Iowa State,South Dakota,-16.5,47.5,55,7,-10.5,26.5,27,7,-8.25,23.75,-2.25,2.75
401760359,2025,1,Air Force,Bucknell,-31.0,54.5,49,13,-17.5,30.5,28,7,-15.5,27.25,-2.0,3.25
401752669,2025,1,Georgia,Marshall,-39.5,55.5,45,7,-23.5,29.5,24,0,-19.75,27.75,-3.75,1.75
401752665,2025,1,Florida State,Alabama,13.5,50.5,31,17,7.5,23.5,17,7,6.75,25.25,0.75,-1.75
401757220,2025,1,Liberty,Maine,-25.5,51.0,28,7,-16.5,28.5,7,7,-12.75,25.5,-3.75,3.0
401752804,2025,1,Oregon,Montana State,-28.0,56.5,59,13,-17.5,30.5,38,3,-14.0,28.25,-3.5,2.25
401752666,2025,1,Arkansas,Alabama A&M,-45.5,62.5,52,7,-26.5,35.5,31,7,-22.75,31.25,-3.75,4.25
401762433,2025,1,Memphis,Chattanooga,-30.5,55.5,45,10,-16.5,30.5,28,3,-15.25,27.75,-1.25,2.75
401752675,2025,1,Oklahoma,Illinois State,-39.5,61.0,35,3,-22.5,34.5,21,0,-19.75,30.5,-2.75,4.0
401754616,2025,1,Virginia,Coastal Carolina,-12.5,57.5,48,7,-7.5,27.5,28,0,-6.25,28.75,-1.25,-1.25
401761590,2025,1,James Madison,Weber State,-26.5,54.5,45,10,-16.5,30.5,28,7,-13.25,27.25,-3.25,3.25
401752679,2025,1,Vanderbilt,Charleston Southern,-37.5,49.5,45,3,-21.5,27.5,28,0,-18.75,24.75,-2.75,2.75
401761591,2025,1,Arkansas State,Southeast Missouri State,-15.5,59.5,42,24,-9.5,33.5,28,10,-7.75,29.75,-1.75,3.75
401757226,2025,1,Western Kentucky,North Alabama,-27.5,60.5,55,6,-16.5,33.5,42,6,-13.75,30.25,-2.75,3.25
401752678,2025,1,Texas A&M,UTSA,-21.5,56.5,42,24,-13.5,30.5,21,10,-10.75,28.25,-2.75,2.25
401761593,2025,1,South Alabama,Morgan State,-28.5,51.5,38,21,-17.5,29.5,17,7,-14.25,25.75,-3.25,3.75
401756855,2025,1,Kansas State,North Dakota,-27.5,55.5,38,35,-16.5,30.5,17,21,-13.75,27.75,-2.75,2.75
401757222,2025,1,Middle Tennessee,Austin Peay,-14.5,53.5,14,34,-9.5,29.5,7,21,-7.25,26.75,-2.25,2.75
401761595,2025,1,Troy,Nicholls,-16.5,46.5,38,20,-13.5,27.5,7,10,-8.25,23.25,-5.25,4.25
401752671,2025,1,Clemson,LSU,-3.5,57.5,10,17,-2.5,27.5,10,3,-1.75,28.75,-0.75,-1.25
401752798,2025,1,USC,Missouri State,-34.5,59.5,73,13,-22.5,33.5,42,10,-17.25,29.75,-5.25,3.75
401752808,2025,1,Michigan,New Mexico,-36.5,52.5,34,17,-20.5,27.5,24,10,-18.25,26.25,-2.25,1.25
401756877,2025,1,Texas Tech,Arkansas-Pine Bluff,,62.5,67,7,-36.5,40.5,47,0,,31.25,,9.25
401757225,2025,1,Utah State,UTEP,-3.5,59.5,28,16,-3.5,29.5,20,10,-1.75,29.75,-1.75,-0.25
401752672,2025,1,Ole Miss,Georgia State,-38.5,62.5,63,7,-21.5,34.5,25,7,-19.25,31.25,-2.25,3.25
401761592,2025,1,Louisiana,Rice,-14.5,49.5,12,14,-5.5,23.5,6,14,-7.25,24.75,1.75,-1.25
401761594,2025,1,Texas State,Eastern Michigan,-14.0,58.5,52,27,-7.5,28.5,24,17,-7.0,29.25,-0.5,-0.75
401762457,2025,1,Tulsa,Abilene Christian,-5.0,59.5,35,7,-3.5,32.5,10,0,-2.5,29.75,-1.0,2.75
401756851,2025,1,BYU,Portland State,-43.5,61.5,69,0,-24.5,33.5,49,0,-21.75,30.75,-2.75,2.75
401762435,2025,1,North Texas,Lamar,-27.5,63.5,51,0,-16.5,34.5,37,0,-13.75,31.75,-2.75,2.75
401754521,2025,1,SMU,East Texas A&M,-51.0,65.0,42,13,-27.5,35.5,21,3,-25.5,32.5,-2.0,3.0
401757223,2025,1,New Mexico State,Bryant,-19.5,52.5,19,3,-11.5,29.5,9,3,-9.75,26.25,-1.75,3.25
401760361,2025,1,Fresno State,Georgia Southern,-2.5,54.5,42,14,-0.5,24.5,13,14,-1.25,27.25,0.75,-2.75
401756850,2025,1,Arizona State,Northern Arizona,-29.5,52.5,38,19,-17.5,29.5,17,6,-14.75,26.25,-2.75,3.25
401752947,2025,1,Washington State,Idaho,-16.5,50.5,13,10,-10.5,27.5,7,0,-8.25,25.25,-2.25,2.25
401756849,2025,1,Arizona,Hawai'i,-13.5,55.5,40,6,-8.5,27.5,17,6,-6.75,27.75,-1.75,-0.25
401752936,2025,1,Oregon State,California,-3.0,51.5,15,34,0.5,23.5,3,17,-1.5,25.75,2.0,-2.25
401752800,2025,1,UCLA,Utah,6.5,50.5,10,43,3.5,24.5,7,23,3.25,25.25,0.25,-0.75
401752805,2025,1,Washington,Colorado State,-20.5,52.5,38,21,-13.5,27.5,14,14,-10.25,26.25,-3.25,1.25
401752680,2025,1,South Carolina,Virginia Tech,-8.5,48.5,24,11,-3.5,24.5,10,8,-4.25,24.25,0.75,0.25
401754522,2025,1,Miami,Notre Dame,2.5,53.5,27,24,1.5,23.5,14,7,1.25,26.75,0.25,-3.25
401754523,2025,1,North Carolina,TCU,3.0,59.5,14,48,2.5,26.5,7,20,1.5,29.75,1.0,-3.25
401757289,2025,10,Kennesaw State,UTEP,-12.5,53.5,33,20,-7.5,27.5,16,10,-6.25,26.75,-1.25,0.75
401761639,2025,10,Texas State,James Madison,7.5,55.5,20,52,3.5,27.5,20,28,3.75,27.75,-0.25,-0.25
401757292,2025,10,Middle Tennessee,Jacksonville State,4.5,54.0,21,24,2.5,27.5,6,7,2.25,27.0,0.25,0.5
401757291,2025,10,Missouri State,Florida International,-3.0,50.0,28,21,-1.5,24.5,14,14,-1.5,25.0,0.0,-0.5
401762443,2025,10,UTSA,Tulane,5.5,54.5,48,26,3.5,27.5,31,12,2.75,27.25,0.75,0.25
401761640,2025,10,Coastal Carolina,Marshall,7.5,55.5,44,27,3.5,27.5,17,20,3.75,27.75,-0.25,-0.25
401762497,2025,10,Rice,Memphis,13.5,48.5,14,38,7.5,24.5,7,31,6.75,24.25,0.75,0.25
401754575,2025,10,Syracuse,North Carolina,-1.5,45.5,10,27,-0.5,21.5,10,6,-0.75,22.75,0.25,-1.25
401757290,2025,10,Louisiana Tech,Sam Houston,-16.5,48.0,55,14,-9.5,24.5,27,0,-8.25,24.0,-1.25,0.5
401752889,2025,10,Ohio State,Penn State,-17.5,45.5,38,14,-10.5,23.5,17,14,-8.75,22.75,-1.75,0.75
401762849,2025,10,Bowling Green,Buffalo,-2.5,44.5,3,28,-0.5,21.5,0,21,-1.25,22.25,0.75,-0.75
401760401,2025,10,Air Force,Army,1.5,48.5,17,20,-0.5,23.5,3,10,0.75,24.25,-1.25,-0.75
401754577,2025,10,Clemson,Duke,-4.5,55.5,45,46,-2.5,27.5,28,28,-2.25,27.75,-0.25,-0.25
401752758,2025,10,Texas,Vanderbilt,-3.5,48.5,34,31,-2.5,23.5,24,10,-1.75,24.25,-0.75,-0.75
401754581,2025,10,SMU,Miami,8.5,50.5,26,20,4.5,24.5,7,10,4.25,25.25,0.25,-0.75
401757173,2025,10,UConn,UAB,-10.0,61.5,38,19,-6.5,31.5,24,0,-5.0,30.75,-1.5,0.75
401762499,2025,10,North Texas,Navy,-6.5,68.5,31,17,-3.5,34.5,24,10,-3.25,34.25,-0.25,0.25
401752891,2025,10,Illinois,Rutgers,-13.5,63.5,35,13,-7.5,32.5,21,6,-6.75,31.75,-0.75,0.75
401756938,2025,10,Houston,West Virginia,-13.5,48.5,35,45,-7.5,24.5,21,21,-6.75,24.25,-0.75,0.25
401756936,2025,10,Baylor,UCF,-3.0,58.5,30,3,-2.5,28.5,20,3,-1.5,29.25,-1.0,-0.75
401756939,2025,10,Iowa State,Arizona State,-7.5,48.5,19,24,-5.5,23.5,16,17,-3.75,24.25,-1.75,-0.75
401762498,2025,10,Temple,East Carolina,5.5,58.5,14,45,2.5,28.5,14,28,2.75,29.25,-0.25,-0.75
401754580,2025,10,Virginia Tech,Louisville,10.5,52.5,16,28,5.5,26.5,16,7,5.25,26.25,0.25,0.25
401760404,2025,10,UNLV,New Mexico,-3.5,61.5,35,40,-2.5,30.5,21,31,-1.75,30.75,-0.75,-0.25
401752755,2025,10,Florida,Georgia,7.0,50.5,20,24,3.5,24.5,10,10,3.5,25.25,0.0,-0.75
401761641,2025,10,UL Monroe,Old Dominion,16.5,55.5,6,31,9.5,27.5,0,24,8.25,27.75,1.25,-0.25
401752887,2025,10,Maryland,Indiana,21.0,50.5,10,55,11.5,27.5,3,20,10.5,25.25,1.0,2.25
401754582,2025,10,Stanford,Pittsburgh,13.5,51.5,20,35,7.5,26.5,13,21,6.75,25.75,0.75,0.75
401754583,2025,10,Boston College,Notre Dame,31.5,55.5,10,25,17.5,30.5,7,12,15.75,27.75,1.75,2.75
401760402,2025,10,Boise State,Fresno State,-17.5,47.5,7,30,-9.5,24.5,7,10,-8.75,23.75,-0.75,0.75
401756941,2025,10,Kansas State,Texas Tech,7.5,51.5,20,43,3.5,26.5,7,12,3.75,25.75,-0.25,0.75
401757293,2025,10,Liberty,Delaware,-3.5,52.5,59,30,-2.5,26.5,28,9,-1.75,26.25,-0.75,0.25
401761642,2025,10,South Alabama,Louisiana,-3.5,52.5,22,31,-2.5,26.5,7,24,-1.75,26.25,-0.75,0.25
401752888,2025,10,Minnesota,Michigan State,-4.5,44.5,23,20,-2.5,22.5,10,0,-2.25,22.25,-0.25,0.25
401757294,2025,10,Western Kentucky,New Mexico State,-7.5,53.5,35,16,-4.5,26.5,14,6,-3.75,26.75,-0.75,-0.25
401754576,2025,10,California,Virginia,6.5,52.5,21,31,3.5,25.5,7,17,3.25,26.25,0.25,-0.75
401762850,2025,10,Western Michigan,Central Michigan,-6.0,43.5,24,21,-3.5,20.5,7,14,-3.0,21.75,-0.5,-1.25
401752753,2025,10,Arkansas,Mississippi State,-5.5,66.5,35,38,-3.5,33.5,13,7,-2.75,33.25,-0.75,0.25
401756940,2025,10,Kansas,Oklahoma State,-24.5,54.5,38,21,-14.5,28.5,10,7,-12.25,27.25,-2.25,1.25
401752756,2025,10,Ole Miss,South Carolina,-12.5,55.5,30,14,-7.5,27.5,17,7,-6.25,27.75,-1.25,-0.25
