game_id,half_spread,half_total
401756846,-1.5,24.5
401760371,-17.5,37.5
401756847,-7.5,25.5
401757218,-6.5,30.5
401754516,-0.5,24.5
401762522,2.5,30.5
401752794,-8.5,26.5
401762790,-10.5,27.5
401762789,3.5,24.5
401757219,-17.5,29.5
401754373,-7.5,30.5
401756848,-11.5,27.5
401761588,-18.5,26.5
401756876,-14.5,31.5
401754517,-20.5,28.5
401752674,-20.5,29.5
401756852,-14.5,30.5
401752793,-9.5,22.5
401762430,-13.5,30.5
401752796,3.5,24.5
401762791,-10.5,20.5
401760357,-12.5,29.5
401762432,-8.5,25.5
401754374,-10.5,26.5
401761589,2.5,23.5
401766898,-16.5,30.5
401752802,-12.5,26.5
401756854,-26.5,32.5
401752795,-27.5,36.5
401754375,2.5,23.5
401752667,0.5,28.5
401757224,5.5,30.5
401760358,-7.5,26.5
401752797,-7.5,30.5
401762792,-3.5,27.5
401752677,-0.5,22.5
401752801,-9.5,24.5
401754520,-21.5,32.5
401752676,-7.5,26.5
401752803,-3.5,22.5
401762434,-24.5,30.5
401752673,7.5,30.5
401752670,-5.5,24.5
401754518,-20.5,30.5
401756878,-23.5,30.5
401757167,-16.5,28.5
401752806,-13.5,27.5
401754519,-23.5,33.5
401762793,-7.5,26.5
401752807,-26.5,31.5
401756853,-10.5,26.5
401760359,-17.5,30.5
401752669,-23.5,29.5
401762456,0.5,23.5
401752665,7.5,23.5
401757220,-16.5,28.5
401752804,-17.5,30.5
401752666,-26.5,35.5
401762433,-16.5,30.5
401752675,-22.5,34.5
401754616,-7.5,27.5
401752799,-22.5,27.5
401761590,-16.5,30.5
401752679,-21.5,27.5
401761591,-9.5,33.5
401752668,-25.5,31.5
401757226,-16.5,33.5
401752678,-13.5,30.5
401761593,-17.5,29.5
401756855,-16.5,30.5
401757222,-9.5,29.5
401761595,-13.5,27.5
401752671,-2.5,27.5
401752798,-22.5,33.5
401752808,-20.5,27.5
401756877,-36.5,40.5
401757221,-10.5,27.5
401757225,-3.5,29.5
401752672,-21.5,34.5
401761592,-5.5,23.5
401761594,-7.5,28.5
401762457,-3.5,32.5
401756851,-24.5,33.5
401762435,-16.5,34.5
401754521,-27.5,35.5
401757223,-11.5,29.5
401760361,-0.5,24.5
401756850,-17.5,29.5
401752947,-10.5,27.5
401756849,-8.5,27.5
401752936,0.5,23.5
401752800,3.5,24.5
401752805,-13.5,27.5
401752680,-3.5,24.5
401754522,1.5,23.5
401754523,2.5,26.5
401757289,-7.5,27.5
401761639,3.5,27.5
401757292,2.5,27.5
401757291,-1.5,24.5
401762443,3.5,27.5
401761640,3.5,27.5
401762497,7.5,24.5
401754575,-0.5,21.5
401757290,-9.5,24.5
401752889,-10.5,23.5
401762849,-0.5,21.5
401760401,-0.5,23.5
401754577,-2.5,27.5
401752758,-2.5,23.5
401754581,4.5,24.5
401757173,-6.5,31.5
401762499,-3.5,34.5
401752891,-7.5,32.5
401756938,-7.5,24.5
401756936,-2.5,28.5
401756939,-5.5,23.5
401762498,2.5,28.5
401754580,5.5,26.5
401760404,-2.5,30.5
401752755,3.5,24.5
401761641,9.5,27.5
401752887,11.5,27.5
401754582,7.5,26.5
401754583,17.5,30.5
401760402,-9.5,24.5
401756941,3.5,26.5
401757293,-2.5,26.5
401761642,-2.5,26.5
401752888,-2.5,22.5
401757294,-4.5,26.5
401754576,3.5,25.5
401762850,-3.5,20.5
401752753,-3.5,33.5
401773349,-14.5,28.5
401752756,-7.5,27.5
401752890,-11.5,26.5
401756937,2.5,25.5
401760405,-5.5,21.5
401752892,2.5,29.5
401752943,1.5,23.5
401752757,-1.5,27.5
401754578,-6.5,24.5
401754579,2.5,29.5
401752754,-6.5,22.5
401761643,-5.5,26.5
401756942,-6.5,28.5
401760403,-0.5,27.5
401762851,-7.5,25.5
401762852,-1.5,24.5
401762853,-2.5,23.5
401762854,-7.5,21.5
401761644,-3.5,30.5
401762500,-7.5,34.5
